season,team_name_bet,opp_team_name_bet,team_goals,opp_team_goals,Bet365_win_odds,Bet365_draw_odds,Bet365_lose_odds,bet_merge_code
20222023,Newcastle,West Ham,1.0,1.0,1.6,3.8,6.0,20222023_15_9_Home
20222023,Nott'm Forest,Leeds,1.0,0.0,2.63,3.3,2.7,20222023_25_10_Home
20222023,Tottenham,Man City,1.0,0.0,4.33,4.2,1.73,20222023_17_4_Home
20222023,Man United,Leeds,2.0,2.0,1.45,5.0,6.0,20222023_14_10_Home
20222023,West Ham,Chelsea,1.0,1.0,3.3,3.3,2.25,20222023_9_1_Home
20222023,Arsenal,Brentford,1.0,1.0,1.44,4.75,7.0,20222023_11_21_Home
20222023,Crystal Palace,Brighton,1.0,1.0,3.8,3.5,2.0,20222023_16_19_Home
20222023,Fulham,Nott'm Forest,2.0,0.0,1.91,3.5,4.33,20222023_18_25_Home
20222023,Leicester,Tottenham,4.0,1.0,3.4,3.6,2.1,20222023_6_17_Home
20222023,Southampton,Wolves,1.0,2.0,2.9,3.2,2.55,20222023_7_8_Home
20222023,Bournemouth,Newcastle,1.0,1.0,6.5,4.0,1.53,20222023_24_15_Home
20222023,Leeds,Man United,0.0,2.0,3.75,3.8,1.91,20222023_10_14_Home
20222023,Man City,Aston Villa,3.0,1.0,1.25,6.5,11.0,20222023_4_20_Home
20222023,Liverpool,Everton,2.0,0.0,1.5,4.33,6.5,20222023_3_5_Home
20222023,Arsenal,Man City,1.0,3.0,2.9,3.5,2.35,20222023_11_4_Home
20222023,Aston Villa,Arsenal,2.0,4.0,4.5,3.6,1.5,20222023_20_11_Home
20222023,Brentford,Crystal Palace,1.0,1.0,1.83,3.5,4.5,20222023_21_16_Home
20222023,Brighton,Fulham,0.0,1.0,1.65,3.8,5.5,20222023_19_18_Home
20222023,Chelsea,Southampton,0.0,1.0,1.4,4.75,8.5,20222023_1_7_Home
20222023,Everton,Leeds,1.0,0.0,2.4,3.3,3.0,20222023_5_10_Home
20222023,Nott'm Forest,Man City,1.0,1.0,8.5,5.5,1.3,20222023_25_4_Home
20222023,Wolves,Bournemouth,0.0,1.0,1.67,3.6,6.0,20222023_8_24_Home
20222023,Newcastle,Liverpool,0.0,2.0,2.5,3.5,2.7,20222023_15_3_Home
20222023,Man United,Leicester,3.0,0.0,1.62,4.33,5.25,20222023_14_6_Home
