season,Div,Date,Time,team_name_bet,opp_team_name_bet,team_goals,opp_team_goals,result,HT_team_goals,HT_opp_team_goals,HT_result,Referee,team_shots,opp_team_shots,team_SoT,opp_team_SoT,team_fouls,opp_team_fouls,team_corners,opp_team_corners,team_yellows,opp_team_yellows,team_reds,opp_team_reds,Bet365_win_odds,Bet365_draw_odds,Bet365_lose_odds,Market_max_win_odds,Market_max_draw_odds,Market_max_lose_odds,Market_avg_win_odds,Market_avg_draw_odds,Market_avg_lose_odds,Bet365_over2_5_goals_odds,Bet365_under2_5_goals_odds,Market_max_over2_5_goals_odds,Market_max_under2_5_goals_odds,Market_avg_over2_5_goals_odds,Market_avg_under2_5_goals_odds,venue,bet_team_code_recoded,bet_opp_team_code_recoded,bet_merge_code
20222023,E0,2022-08-31,19:30,Bournemouth,Wolves,0.0,0.0,D,0.0,0.0,D,A Taylor,5.0,17.0,2.0,4.0,12.0,12.0,2.0,5.0,2.0,1.0,0.0,0.0,3.5,3.3,2.15,3.67,3.54,2.24,3.53,3.38,2.16,2.1,1.72,2.18,1.81,2.11,1.75,Home,24,8,20222023_24_8_Home
20222023,E0,2022-08-31,19:30,Man City,Nott'm Forest,6.0,0.0,H,3.0,0.0,H,P Tierney,17.0,8.0,9.0,1.0,9.0,7.0,10.0,1.0,0.0,1.0,0.0,0.0,1.06,13.0,29.0,1.1,14.5,43.0,1.08,12.84,30.99,1.22,4.33,1.27,4.33,1.24,4.07,Home,4,25,20222023_4_25_Home
20222023,E0,2022-08-31,19:45,West Ham,Tottenham,1.0,1.0,D,0.0,1.0,A,P Bankes,14.0,13.0,4.0,4.0,10.0,9.0,3.0,4.0,2.0,5.0,0.0,0.0,3.6,3.8,1.95,3.8,3.9,2.08,3.63,3.74,2.01,1.72,2.1,1.81,2.17,1.75,2.1,Home,9,17,20222023_9_17_Home
20222023,E0,2022-08-31,20:00,Liverpool,Newcastle,2.0,1.0,H,0.0,1.0,A,A Marriner,23.0,5.0,6.0,2.0,9.0,10.0,13.0,0.0,0.0,2.0,0.0,0.0,1.33,5.25,9.0,1.34,6.25,11.0,1.31,5.81,9.58,1.5,2.62,1.52,2.72,1.49,2.61,Home,3,15,20222023_3_15_Home
20222023,E0,2022-09-01,20:00,Leicester,Man United,0.0,1.0,A,0.0,1.0,A,C Pawson,10.0,9.0,2.0,2.0,7.0,15.0,1.0,3.0,1.0,3.0,0.0,0.0,3.4,3.75,2.05,3.54,4.0,2.14,3.41,3.81,2.07,1.66,2.2,1.71,2.42,1.63,2.3,Home,6,14,20222023_6_14_Home
20222023,E0,2022-09-03,12:30,Everton,Liverpool,0.0,0.0,D,0.0,0.0,D,A Taylor,14.0,23.0,3.0,8.0,7.0,11.0,7.0,9.0,2.0,2.0,0.0,0.0,7.0,4.75,1.4,8.5,5.39,1.44,7.77,5.06,1.4,1.57,2.37,1.63,2.51,1.58,2.4,Home,5,3,20222023_5_3_Home
20222023,E0,2022-09-03,15:00,Brentford,Leeds,5.0,2.0,H,2.0,1.0,H,R Jones,14.0,17.0,8.0,6.0,8.0,9.0,2.0,6.0,2.0,2.0,0.0,0.0,2.1,3.5,3.4,2.25,3.75,3.45,2.17,3.59,3.33,1.72,2.1,1.79,2.17,1.75,2.1,Home,21,10,20222023_21_10_Home
20222023,E0,2022-09-03,15:00,Chelsea,West Ham,2.0,1.0,H,0.0,0.0,D,A Madley,8.0,6.0,3.0,3.0,6.0,11.0,10.0,3.0,4.0,2.0,0.0,0.0,1.55,4.5,5.5,1.59,4.58,6.4,1.55,4.38,6.03,1.72,2.1,1.81,2.2,1.74,2.12,Home,1,9,20222023_1_9_Home
20222023,E0,2022-09-03,15:00,Newcastle,Crystal Palace,0.0,0.0,D,0.0,0.0,D,M Salisbury,23.0,19.0,6.0,9.0,19.0,12.0,13.0,5.0,2.0,1.0,0.0,0.0,2.0,3.5,3.75,2.12,3.6,4.0,2.05,3.48,3.8,2.0,1.8,2.16,1.85,2.05,1.79,Home,15,16,20222023_15_16_Home
20222023,E0,2022-09-03,15:00,Nott'm Forest,Bournemouth,2.0,3.0,A,2.0,0.0,H,M Oliver,11.0,8.0,3.0,3.0,13.0,10.0,4.0,6.0,2.0,1.0,0.0,0.0,1.95,3.5,3.8,2.06,3.56,4.0,2.02,3.47,3.89,2.1,1.72,2.18,1.8,2.1,1.75,Home,25,24,20222023_25_24_Home
