,season,round,kickoff_time,team_name,opp_team_name,value,points_scaled,elo,elo_team,elo_opp
58164,20202021,36.0,2021-05-16T13:05:00Z,Spurs,Wolves,6.2727272727272725,1.519044908336002,"[1044.0724776759898, 981.969642301103]",1044.0724776759898,981.969642301103
48593,20202021,36.0,2021-05-16T13:05:00Z,Wolves,Spurs,1.9090909090909092,-0.8494353340067302,"[977.8730399142665, 1048.1690800628264]",977.8730399142665,1048.1690800628264
29451,20202021,36.0,2021-05-16T15:30:00Z,West Brom,Liverpool,2.272727272727273,-0.6520619804781691,"[944.5371797409312, 1031.7576267775692]",944.5371797409312,1031.7576267775692
53380,20202021,36.0,2021-05-16T15:30:00Z,Liverpool,West Brom,4.3,0.4482944654435584,"[1029.9568618172739, 946.3379447012263]",1029.9568618172739,946.3379447012263
43810,20202021,36.0,2021-05-16T18:00:00Z,Everton,Sheffield Utd,1.9,-0.8543696678449443,"[1013.31775658943, 892.6591823161511]",1013.31775658943,892.6591823161511
19881,20202021,36.0,2021-05-16T18:00:00Z,Sheffield Utd,Everton,5.545454545454546,1.1242982012788802,"[896.9696247755237, 1009.0073141300575]",896.9696247755237,1009.0073141300575
34240,20202021,37.0,2021-05-18T17:00:00Z,Fulham,Man Utd,3.0,-0.25731527342104715,"[943.7275631069422, 1051.1298570169793]",943.7275631069422,1051.1298570169793
22277,20202021,37.0,2021-05-18T17:00:00Z,Man Utd,Fulham,2.909090909090909,-0.3066586118031874,"[1046.1586660378332, 948.6987540860881]",1046.1586660378332,948.6987540860881
24671,20202021,37.0,2021-05-18T17:00:00Z,Southampton,Leeds,1.7,-0.9629250122856529,"[960.9925110443104, 1018.6845340136254]",960.9925110443104,1018.6845340136254
46206,20202021,37.0,2021-05-18T17:00:00Z,Leeds,Southampton,6.222222222222222,1.4916319425681464,"[1021.4158191608964, 958.2612258970394]",1021.4158191608964,958.2612258970394
31851,20202021,37.0,2021-05-18T18:00:00Z,Brighton,Man City,3.6,0.06835075990107857,"[997.6060478511981, 1116.2125308790137]",997.6060478511981,1116.2125308790137
10315,20202021,37.0,2021-05-18T18:00:00Z,Man City,Brighton,2.5555555555555554,-0.4985493721781774,"[1110.414432518723, 1003.4041462114888]",1110.414432518723,1003.4041462114888
15103,20202021,37.0,2021-05-18T19:15:00Z,Leicester,Chelsea,1.8,-0.9086473400652986,"[1031.0439685140823, 1060.2325290526505]",1031.0439685140823,1060.2325290526505
27067,20202021,37.0,2021-05-18T19:15:00Z,Chelsea,Leicester,3.9,0.2311837765621413,"[1058.4582941122253, 1032.8182034545075]",1058.4582941122253,1032.8182034545075
